id,label,timeset,indegree,outdegree,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
hyperdirichlet,,,4,0,4,0.0,0.0,0.0,0.0,0.005045635,0.0,23,2.1936527181430152E-4,0,334,0.0,0.02429768935646472
brainGraph,,,12,0,12,0.0,0.0,0.0,0.0,0.032359637,0.0,65,1.277961178412769E-4,0,303,0.03030303120613098,0.4473516712572555
RcmdrMisc,,,8,5,13,2.0,0.5316455696202531,0.5595238095238095,1578.009523809524,0.024952492,2.638847E-4,42,1.319197461724481E-4,0,333,0.07051282376050949,0.3026044155332937
wux,,,13,0,13,0.0,0.0,0.0,0.0,0.009075631,0.0,35,1.4353842414868722E-4,0,332,0.025641025975346565,0.33866422219109965
s2dverification,,,9,0,9,0.0,0.0,0.0,0.0,0.008513094,0.0,35,3.2859539274039424E-4,0,331,0.013888888992369175,0.09282100654353279
treeclim,,,8,0,8,0.0,0.0,0.0,0.0,0.026569154,0.0,35,1.6327745591378858E-4,0,330,0.0535714291036129,0.13176694346562287
Gmisc,,,9,1,10,1.0,1.0,1.0,3.0,0.012240827,1.618525E-4,25,1.4964673370860263E-4,0,329,0.13333334028720856,0.3392751049939459
MFPCA,,,7,0,7,0.0,0.0,0.0,0.0,0.018750109,0.0,35,2.0773897611864217E-4,0,243,0.095238097012043,0.1054448798450806
rfPermute,,,4,0,4,0.0,0.0,0.0,0.0,0.016998049,0.0,10,1.0930569053413115E-4,0,327,0.0,0.09418498244274162
narray,,,2,0,2,0.0,0.0,0.0,0.0,9.7088114E-4,0.0,25,1.1510781922279357E-4,0,326,0.0,0.03087408935185281
boral,,,6,0,6,0.0,0.0,0.0,0.0,0.026701601,0.0,36,1.6251401581967724E-4,0,88,0.06666667014360428,0.0680616573101737
synbreed,,,10,0,10,0.0,0.0,0.0,0.0,0.031785015,0.0,23,3.051018323604796E-4,0,325,0.02222222276031971,0.21207050923905524
cocoreg,,,10,0,10,0.0,0.0,0.0,0.0,0.039328355,0.0,9,2.9382306123581776E-4,0,324,0.011111111380159855,0.1497809756198502
oro.nifti,,,2,20,22,2.0,0.9166666666666666,0.9545454545454546,41.5,8.985163E-4,0.0021568218,65,1.1075346907540733E-4,0,323,0.019480518996715546,0.00953441179182815
spectral.methods,,,10,0,10,0.0,0.0,0.0,0.0,0.006568458,0.0,35,4.667300277398985E-4,0,302,0.06666667014360428,0.22915264123591755
rosm,,,5,0,5,0.0,0.0,0.0,0.0,0.0053475,0.0,54,1.1277242848382946E-4,0,301,0.0,0.0342937610251872
spatial.tools,,,7,0,7,0.0,0.0,0.0,0.0,0.007553803,0.0,10,1.5668566817172725E-4,0,300,0.0714285746216774,0.0812786621642562
merTools,,,10,1,11,1.0,1.0,1.0,14.0,0.025921473,7.00449E-4,25,1.6957505798351346E-4,0,57,0.072727270424366,0.43331202121691
CFC,,,3,0,3,0.0,0.0,0.0,0.0,0.005873179,0.0,10,1.0746978633686438E-4,0,299,0.1666666716337204,0.04087016102057527
secrdesign,,,2,0,2,0.0,0.0,0.0,0.0,8.9760916E-4,0.0,35,1.297508441027557E-4,0,182,0.5,0.060878746034649475
latentnet,,,7,2,9,1.0,1.0,1.0,15.083333333333332,0.0075680744,7.827045E-4,23,1.2743195273705316E-4,0,298,0.1111111119389534,0.09413871936188185
poliscidata,,,8,0,8,0.0,0.0,0.0,0.0,0.011307802,0.0,42,2.5064018560097843E-4,0,295,0.01785714365541935,0.42213013107919084
bayesPop,,,7,1,8,1.0,1.0,1.0,10.0,0.008525014,1.828359E-5,14,2.936137200524421E-4,0,294,0.125,0.17866504977081657
SphericalCubature,,,3,0,3,0.0,0.0,0.0,0.0,0.00102913,0.0,35,1.626399517451797E-4,0,120,0.1666666716337204,0.06464700549369748
RNCEP,,,7,0,7,0.0,0.0,0.0,0.0,0.0046355715,0.0,35,1.8946655677378675E-4,0,292,0.0714285746216774,0.08127866216425622
depth,,,3,2,5,1.0,1.0,1.0,20.0,0.0016990141,8.4449886E-5,9,1.1426315241219249E-4,0,291,0.05000000074505806,0.07948721931509302
mlogitBMA,,,3,0,3,0.0,0.0,0.0,0.0,0.0010084119,0.0,9,1.3839108723096564E-4,0,288,0.0,0.07753186423869558
oceanmap,,,9,0,9,0.0,0.0,0.0,0.0,0.0034916443,0.0,17,2.5622728268664805E-4,0,287,0.0555555559694767,0.24472295559524646
Rcmdr,,,4,41,45,1.0,1.0,1.0,1881.8928571428576,0.0021506383,0.0047967755,42,1.3405423251642843E-4,0,286,0.008585858158767223,0.23592940512977043
HH,,,13,1,14,1.0,1.0,1.0,53.5,0.014296834,1.5472698E-4,36,1.512034196675777E-4,0,248,0.03846153989434242,0.38773194673382444
OpenRepGrid,,,9,0,9,0.0,0.0,0.0,0.0,0.012655825,0.0,35,1.4880426560007646E-4,0,246,0.0,0.12900591778181092
PLMIX,,,4,0,4,0.0,0.0,0.0,0.0,0.0042209765,0.0,17,1.6103145791689498E-4,0,245,0.0,0.11928175131101629
funData,,,3,1,4,1.0,1.0,1.0,3.0,0.0045878123,5.393041E-4,35,1.0772867556098517E-4,0,244,0.1666666716337204,0.03521708077897587
alleHap,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,242,0.0,0.004767205895914075
BCBCSF,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,241,0.0,0.004767205895914075
RSDA,,,9,0,9,0.0,0.0,0.0,0.0,0.017948808,0.0,14,1.8452187353557958E-4,0,240,0.02777777798473835,0.29822788825363555
MetStaT,,,3,0,3,0.0,0.0,0.0,0.0,0.020911016,0.0,35,1.0938023331295172E-4,0,239,0.0,0.014301617687742225
spatstat,,,8,42,50,2.0,0.875,0.9285714285714286,390.7857142857143,0.010614142,0.008161719,35,2.6609656958379734E-4,0,238,0.006122448947280645,0.0647061905001456
dgmb,,,2,0,2,0.0,0.0,0.0,0.0,0.020478968,0.0,35,1.0657740870059634E-4,0,191,0.0,0.00953441179182815
LSDinterface,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,190,0.0,0.004767205895914075
MultiPhen,,,7,0,7,0.0,0.0,0.0,0.0,0.022249885,0.0,41,1.750852010343272E-4,0,189,0.0,0.0821270911018383
mvProbit,,,5,0,5,0.0,0.0,0.0,0.0,0.005187882,0.0,23,1.2497696298481117E-4,0,188,0.05000000074505806,0.04335313321251949
spatialfil,,,2,0,2,0.0,0.0,0.0,0.0,0.0015528077,0.0,35,1.0734653041112156E-4,0,187,0.0,0.019992143337444965
mlVAR,,,9,0,9,0.0,0.0,0.0,0.0,0.018928446,0.0,9,1.5841362867337856E-4,0,33,0.0555555559694767,0.5344569266479285
population,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,186,0.0,0.004767205895914075
Bagidis,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,185,0.0,0.004767205895914075
SparseTSCGM,,,8,0,8,0.0,0.0,0.0,0.0,0.025157092,0.0,29,1.9612556098933464E-4,0,184,0.01785714365541935,0.10143819396768682
secr,,,6,4,10,1.0,1.0,1.0,21.833333333333336,0.025753025,0.0017226329,35,1.0949807480697579E-4,0,183,0.07777778059244156,0.06845605037473398
xLLiM,,,4,0,4,0.0,0.0,0.0,0.0,0.027830122,0.0,35,1.0800149906710302E-4,0,178,0.0,0.02429768935646472
ncdf4.helpers,,,3,1,4,2.0,0.6666666666666666,0.75,4.0,9.721469E-4,3.445311E-6,35,1.3298193093616527E-4,0,177,0.0833333358168602,0.014301617687742225
fractaldim,,,1,1,2,1.0,1.0,1.0,1.0,8.480615E-4,8.208116E-4,55,1.0648249823753245E-4,0,174,0.0,0.004767205895914075
kamila,,,5,0,5,0.0,0.0,0.0,0.0,0.009296774,0.0,9,1.1145626751889806E-4,0,172,0.0,0.029064895252378795
mvmesh,,,4,2,6,1.0,1.0,1.0,33.0,0.001920349,3.700252E-5,35,1.229596545495261E-4,0,121,0.06666667014360428,0.08708096533180677
multipol,,,1,1,2,1.0,1.0,1.0,1.0,8.480615E-4,1.3002477E-4,45,1.0648249823753245E-4,0,171,0.0,0.004767205895914075
bootnet,,,12,0,12,0.0,0.0,0.0,0.0,0.03145381,0.0,29,3.69344158220324E-4,0,35,0.06060606241226196,0.8314039962529254
rtide,,,6,0,6,0.0,0.0,0.0,0.0,0.015451154,0.0,25,1.5352022431673802E-4,0,169,0.10000000149011612,0.10350421406996624
geostatsp,,,5,1,6,1.0,1.0,1.0,1.5,0.010776267,4.759588E-4,35,1.089098416593704E-4,0,168,0.13333334028720856,0.04757803269160367
interplot,,,4,0,4,0.0,0.0,0.0,0.0,0.019122573,0.0,36,1.1350734552171204E-4,0,52,0.0833333358168602,0.18015326591200412
RcmdrPlugin.epack,,,7,0,7,0.0,0.0,0.0,0.0,0.021435594,0.0,11,1.296061644768117E-4,0,166,0.0476190485060215,0.24189064077210704
magclass,,,3,0,3,0.0,0.0,0.0,0.0,0.0015942593,0.0,35,1.1183706899305874E-4,0,165,0.0,0.032814755126967174
DLMtool,,,4,0,4,0.0,0.0,0.0,0.0,0.022148324,0.0,57,1.1139550500554767E-4,0,164,0.0,0.02429768935646472
multicon,,,5,0,5,0.0,0.0,0.0,0.0,0.008720816,0.0,17,1.9823738145083907E-4,0,163,0.0,0.04475149257080403
magic,,,1,22,23,4.0,0.5135135135135135,0.606359649122807,65.5,8.480615E-4,0.00807201,45,1.0648249823753245E-4,0,162,0.0019762846641242504,0.004767205895914075
factoextra,,,5,0,5,0.0,0.0,0.0,0.0,0.015906885,0.0,17,1.3349415520406656E-4,0,91,0.10000000149011612,0.22027411594984672
R2jags,,,4,11,15,2.0,0.9230769230769231,0.9583333333333334,51.5,0.0030509206,0.006211622,23,1.3435700114904864E-4,0,90,0.0476190485060215,0.045637366916489334
spBayes,,,4,1,5,2.0,0.6,0.6666666666666666,13.0,0.0035530112,9.566424E-5,57,1.1225244027653745E-4,0,77,0.05000000074505806,0.029526555129273144
RCMIP5,,,6,0,6,0.0,0.0,0.0,0.0,0.015912512,0.0,35,1.0962184219227001E-4,0,73,0.03333333507180214,0.08937151346596765
neuroim,,,8,0,8,0.0,0.0,0.0,0.0,0.01331821,0.0,57,1.608601060639745E-4,0,72,0.0,0.053824244485737825
BayesComm,,,4,0,4,0.0,0.0,0.0,0.0,0.010175209,0.0,35,1.0740947017419991E-4,0,71,0.0,0.02429768935646472
plfm,,,2,0,2,0.0,0.0,0.0,0.0,0.0010460227,0.0,35,1.1075346907540733E-4,0,70,0.0,0.00953441179182815
zoib,,,5,0,5,0.0,0.0,0.0,0.0,0.0038537895,0.0,23,1.1551812402108401E-4,0,69,0.05000000074505806,0.03712030114598692
pcalg,,,12,3,15,1.0,1.0,1.0,44.0,0.008799811,8.683356E-4,29,1.6632118436546623E-4,0,68,0.02380952425301075,0.22186058004067702
DMwR,,,8,4,12,2.0,0.8333333333333334,0.9,71.75,0.0064582187,0.0019246773,10,1.2486884847352108E-4,0,65,0.03030303120613098,0.1054619872897311
pssm,,,4,0,4,0.0,0.0,0.0,0.0,0.021677194,0.0,36,1.3718575535014832E-4,0,59,0.0833333358168602,0.02429768935646472
arm,,,6,14,20,6.0,0.36893203883495146,0.551315789473684,196.18333333333334,0.032009825,0.007746908,36,1.0880533413264214E-4,0,58,0.057894736528396606,0.0841426476931592
glmmBUGS,,,2,0,2,0.0,0.0,0.0,0.0,0.020478968,0.0,35,1.0657740870059634E-4,0,19,0.0,0.00953441179182815
RItools,,,4,2,6,1.0,1.0,1.0,8.0,0.0017756382,7.4020063E-4,45,1.4262533830922014E-4,0,18,0.0,0.0190688235836563
gdimap,,,8,0,8,0.0,0.0,0.0,0.0,0.0051390207,0.0,9,1.8237544903781155E-4,0,15,0.01785714365541935,0.1498331103292366
RcmdrPlugin.EBM,,,3,0,3,0.0,0.0,0.0,0.0,0.0010084938,0.0,41,1.294415865186402E-4,0,14,0.1666666716337204,0.13331248518243077
brms,,,12,0,12,0.0,0.0,0.0,0.0,0.03180409,0.0,17,2.3394323930450687E-4,0,13,0.05303030461072922,0.34681367178611766
pop.wolf,,,1,0,1,0.0,0.0,0.0,0.0,8.480615E-4,0.0,35,1.0648249823753245E-4,0,12,0.0,0.004767205895914075
SpaCCr,,,3,0,3,0.0,0.0,0.0,0.0,0.01889975,0.0,35,1.0690130602496612E-4,0,11,0.0,0.11556210541086963
EBMAforecast,,,4,0,4,0.0,0.0,0.0,0.0,0.008948531,0.0,17,1.5283924823077322E-4,0,10,0.0,0.20657015247325097
elementR,,,5,0,5,0.0,0.0,0.0,0.0,0.0018704408,0.0,25,2.0965578122384928E-4,0,9,0.0,0.13922921780669628
ClimDown,,,5,0,5,0.0,0.0,0.0,0.0,0.0047118976,0.0,35,1.34228108259618E-4,0,8,0.0,0.04475149257080403
informR,,,2,0,2,0.0,0.0,0.0,0.0,8.4876374E-4,0.0,23,2.067552665651182E-4,0,7,0.0,0.03087408935185281
quantspec,,,5,0,5,0.0,0.0,0.0,0.0,0.005444119,0.0,57,1.1344788334647278E-4,0,6,0.0,0.05663740487893598
acepack,,,0,2,2,6.0,0.3686635944700461,0.40430555555555536,0.0,0.0,8.611964E-4,65,1.0551808546768973E-4,0,503,0.0,0.0
Hmisc,,,17,121,138,5.0,0.5790754257907542,0.7170168067226899,6954.719047619046,0.02983829,0.041135218,25,1.8583022712723106E-4,0,502,0.005183539818972349,0.2845446858636984
nlts,,,2,0,2,0.0,0.0,0.0,0.0,1.0311812E-4,0.0,65,1.553582143515846E-4,0,340,0.0,0.014763277564636561
acs,,,3,2,5,2.0,0.75,0.8333333333333334,7.0,0.009297291,7.13636E-4,25,1.0689840105745907E-4,0,505,0.05000000074505806,0.02998821500616747
synthACS,,,2,0,2,0.0,0.0,0.0,0.0,0.0024385268,0.0,25,1.5137752085526453E-4,0,504,0.0,0.05042101448903261
choroplethr,,,9,1,10,1.0,1.0,1.0,54.0,0.022372616,4.3918233E-5,25,2.588812627800325E-4,0,485,0.08888889104127884,0.5428020220756271
acss.data,,,0,1,1,1.0,1.0,1.0,0.0,0.0,1.882019E-5,11,1.0551808546768973E-4,0,507,0.0,0.0
acss,,,2,0,2,0.0,0.0,0.0,0.0,6.5432576E-4,0.0,11,1.9605666958713542E-4,0,506,0.0,0.014763277564636561
actuar,,,0,7,7,1.0,1.0,1.0,0.0,0.0,0.002959349,23,1.0551808546768973E-4,0,515,0.0,0.0
ReliabilityTheory,,,8,0,8,0.0,0.0,0.0,0.0,0.0029231368,0.0,23,3.3973507326896915E-4,0,514,0.0,0.18674540101140835
mbbefd,,,6,0,6,0.0,0.0,0.0,0.0,0.02333611,0.0,23,1.4340432822354987E-4,0,513,0.03333333507180214,0.048120339108433566
ChainLadder,,,10,0,10,0.0,0.0,0.0,0.0,0.046666555,0.0,45,2.4024478556047317E-4,0,512,0.1111111119389534,0.3126958363119793
ActuDistns,,,3,0,3,0.0,0.0,0.0,0.0,1.1092277E-4,0.0,23,2.3369291517302989E-4,0,511,0.0,0.032814755126967174
mombf,,,5,0,5,0.0,0.0,0.0,0.0,0.0071595865,0.0,23,1.2784553774142012E-4,0,510,0.0,0.04800224716039474
BTSPAS,,,6,0,6,0.0,0.0,0.0,0.0,0.022606928,0.0,23,2.14517510073263E-4,0,509,0.10000000149011612,0.13028793756740292
lbiassurv,,,1,0,1,0.0,0.0,0.0,0.0,8.511893E-5,0.0,23,1.1833099798131438E-4,0,508,0.0,0.004767205895914075
ada,,,1,4,5,1.0,1.0,1.0,2.0,4.1013E-4,9.89049E-4,10,1.0746787650237175E-4,0,520,0.10000000149011612,0.004767205895914075
RecordLinkage,,,12,0,12,0.0,0.0,0.0,0.0,0.0067116446,0.0,14,1.9420783542978384E-4,0,519,0.03787878900766373,0.17301878359117792
aCRM,,,4,0,4,0.0,0.0,0.0,0.0,4.889391E-4,0.0,10,2.0714777714742345E-4,0,518,0.0833333358168602,0.045213152447698336
hybridEnsemble,,,21,0,21,0.0,0.0,0.0,0.0,0.005267612,0.0,10,7.75700496062352E-4,0,517,0.014285714365541935,0.19553337253535052
nproc,,,4,0,4,0.0,0.0,0.0,0.0,0.021918291,0.0,10,1.303697637774107E-4,0,516,0.0,0.051290447158088774
adabag,,,3,1,4,1.0,1.0,1.0,21.0,7.9485646E-4,8.456587E-4,10,1.2768865905844387E-4,0,522,0.0833333358168602,0.13535573079317306
rminer,,,15,0,15,0.0,0.0,0.0,0.0,0.029401207,0.0,10,3.5575482685987143E-4,0,521,0.009523809887468815,0.31344674658887994
adaptMCMC,,,2,1,3,1.0,1.0,1.0,2.1666666666666665,0.008513547,4.0931074E-4,11,1.0617218410993133E-4,0,524,0.0,0.01999214333744498
MSGARCH,,,7,0,7,0.0,0.0,0.0,0.0,0.014230599,0.0,11,2.712612747593693E-4,0,523,0.0,0.12742395203849993
ade4,,,0,45,45,2.0,0.6771653543307087,0.7616279069767442,0.0,0.0,0.013723097,1,1.0551808546768973E-4,0,593,0.010101010091602802,0.0
poppr,,,13,1,14,1.0,1.0,1.0,61.0,0.029399846,1.200527E-6,1,1.422054028091393E-4,0,561,0.08791209012269974,0.7605345757940474
adehabitatHS,,,4,0,4,0.0,0.0,0.0,0.0,0.0020737501,0.0,35,1.7835552820985682E-4,0,538,0.3333333432674408,0.08979945565180758
adephylo,,,4,1,5,1.0,1.0,1.0,21.066666666666666,0.0016637918,1.428382E-4,1,1.4865323895131615E-4,0,534,0.30000001192092896,0.35033734956853835
PBD,,,5,0,5,0.0,0.0,0.0,0.0,0.0021165682,0.0,1,2.045913755545985E-4,0,587,0.25,0.2513585829773483
adehabitatLT,,,4,3,7,2.0,0.6666666666666666,0.75,23.0,0.0021556353,1.2443891E-4,35,1.3907479269484828E-4,0,592,0.1190476194024086,0.04803969256849805
FD,,,4,10,14,2.0,0.9166666666666666,0.9545454545454546,72.5,0.0022229427,0.0037154646,1,1.1290396851860452E-4,0,148,0.08241758495569229,0.07421384283677084
RVAideMemoire,,,15,0,15,0.0,0.0,0.0,0.0,0.026515817,0.0,36,3.8440683348259734E-4,0,589,0.03809523954987526,0.4630119868746795
DDD,,,6,2,8,1.0,1.0,1.0,57.0,0.0086447075,7.077818E-5,1,2.0971726446523107E-4,0,588,0.125,0.17627216374599497
hierfstat,,,3,1,4,1.0,1.0,1.0,1.5,0.0013677959,1.0706602E-4,1,1.165864546868294E-4,0,564,0.1666666716337204,0.2287465046357361
ads,,,2,0,2,0.0,0.0,0.0,0.0,6.2946684E-4,0.0,35,1.1289649801092423E-4,0,227,0.0,0.06467943104494266
msap,,,2,0,2,0.0,0.0,0.0,0.0,0.0015577936,0.0,1,1.081524940929518E-4,0,585,0.0,0.022818683458244674
RAM,,,22,0,22,0.0,0.0,0.0,0.0,0.05794299,0.0,1,2.162973730395461E-4,0,145,0.05411255359649658,0.7989794964986825
pez,,,10,0,10,0.0,0.0,0.0,0.0,0.013179681,0.0,1,2.0551187840959942E-4,0,144,0.1111111119389534,0.26245255901297015
ade4TkGUI,,,3,0,3,0.0,0.0,0.0,0.0,0.004267243,0.0,1,1.560250554469899E-4,0,543,0.3333333432674408,0.05415443268699178
cati,,,10,0,10,0.0,0.0,0.0,0.0,0.005320392,0.0,1,2.0232085543155716E-4,0,107,0.06666667014360428,0.3368240098515615
ENiRG,,,8,0,8,0.0,0.0,0.0,0.0,0.0033646713,0.0,35,3.116142651067558E-4,0,584,0.0357142873108387,0.08844819371217907
STEPCAM,,,7,0,7,0.0,0.0,0.0,0.0,0.022635838,0.0,1,1.2775949463186554E-4,0,124,0.095238097012043,0.12229804611078278
entropart,,,4,1,5,1.0,1.0,1.0,14.0,0.0017679885,3.7884754E-5,1,2.0730981362798777E-4,0,583,0.05000000074505806,0.09412533963428026
DrBats,,,4,0,4,0.0,0.0,0.0,0.0,0.028539166,0.0,1,1.0826021429733683E-4,0,581,0.0,0.029526555129273144
memgene,,,4,0,4,0.0,0.0,0.0,0.0,0.0014780862,0.0,35,1.2887053124247704E-4,0,580,0.0833333358168602,0.13371370462685195
symbolicDA,,,7,0,7,0.0,0.0,0.0,0.0,0.004607737,0.0,9,1.520091325562515E-4,0,549,0.1190476194024086,0.20870058376255252
Laterality,,,1,0,1,0.0,0.0,0.0,0.0,3.947136E-4,0.0,1,1.0751120519203134E-4,0,579,0.0,0.004767205895914075
FactoClass,,,2,2,4,1.0,1.0,1.0,1.0,0.001211843,5.16967E-5,1,1.0877445008774081E-4,0,578,0.25,0.00953441179182815
seqinr,,,1,12,13,3.0,0.6136363636363636,0.7098765432098765,11.0,3.947136E-4,0.0023641887,1,1.0751120519203134E-4,0,577,0.006410256493836641,0.004767205895914075
virtualspecies,,,4,0,4,0.0,0.0,0.0,0.0,0.0011727705,0.0,35,1.3399455715237238E-4,0,566,0.0833333358168602,0.08594421778876067
PopGenReport,,,23,0,23,0.0,0.0,0.0,0.0,0.033710066,0.0,1,3.651559506819581E-4,0,556,0.035573121160268784,0.9799748837398609
adegenet,,,11,13,24,2.0,0.8823529411764706,0.9333333333333333,546.8333333333335,0.046632014,0.0029304493,1,1.2494197680305342E-4,0,565,0.06884057819843292,0.3987779777460895
genoPlotR,,,1,0,1,0.0,0.0,0.0,0.0,3.947136E-4,0.0,1,1.0751120519203134E-4,0,553,0.0,0.004767205895914075
qha,,,3,0,3,0.0,0.0,0.0,0.0,5.8402086E-4,0.0,1,1.6078501863911752E-4,0,552,0.1666666716337204,0.11860354903085953
pamctdp,,,3,0,3,0.0,0.0,0.0,0.0,0.00121333,0.0,1,1.5500360086980456E-4,0,551,0.3333333432674408,0.024759349233359047
clusterSim,,,7,4,11,1.0,1.0,1.0,60.5,0.02332533,5.758823E-4,9,1.3911516140341525E-4,0,550,0.04545454680919647,0.10138258301954901
sideChannelAttack,,,5,0,5,0.0,0.0,0.0,0.0,0.020913914,0.0,45,1.7611960617933814E-4,0,545,0.0,0.023836029479570375
adegraphics,,,6,2,8,1.0,1.0,1.0,8.0,0.0075927307,8.1011327E-4,1,1.1354551834393141E-4,0,544,0.125,0.04428983269390967
adespatial,,,4,0,4,0.0,0.0,0.0,0.0,0.023898149,0.0,1,1.561199659100538E-4,0,542,0.1666666716337204,0.05892163858290584
BalanceCheck,,,2,0,2,0.0,0.0,0.0,0.0,0.0044081085,0.0,1,1.0774477390972762E-4,0,541,0.0,0.00953441179182815
subniche,,,1,0,1,0.0,0.0,0.0,0.0,3.947136E-4,0.0,1,1.0751120519203134E-4,0,540,0.0,0.004767205895914075
ecospat,,,21,0,21,0.0,0.0,0.0,0.0,0.0121321725,0.0,35,5.816120843973058E-4,0,205,0.04285714402794838,0.8078119541924939
adehabitatHR,,,5,3,8,1.0,1.0,1.0,15.0,0.002157654,0.0014073937,35,1.740511859170633E-4,0,539,0.1785714328289032,0.07840129690775172
adehabitat,,,4,1,5,1.0,1.0,1.0,6.0,0.0021786534,6.4782676E-4,45,1.2284735079883801E-4,0,537,0.0,0.029526555129273144
phylobase,,,5,8,13,1.0,1.0,1.0,206.7666666666667,0.004893639,7.548148E-4,1,3.04295736759551E-4,0,535,0.0833333358168602,0.21689646257468115
rmetasim,,,4,0,4,0.0,0.0,0.0,0.0,0.0014443833,0.0,1,1.304692242498527E-4,0,528,0.1666666716337204,0.33255107378479726
oncomodel,,,1,0,1,0.0,0.0,0.0,0.0,3.947136E-4,0.0,1,1.0751120519203134E-4,0,527,0.0,0.004767205895914075
IntClust,,,14,0,14,0.0,0.0,0.0,0.0,0.028351946,0.0,25,2.2337342833070247E-4,0,526,0.016483517363667488,0.3616551209172167
mbclusterwise,,,4,0,4,0.0,0.0,0.0,0.0,0.005508154,0.0,10,1.2140201854999185E-4,0,525,0.0833333358168602,0.09325131639843828
skeleSim,,,6,0,6,0.0,0.0,0.0,0.0,0.0037223885,0.0,1,2.332841133989043E-4,0,559,0.1666666716337204,0.5533285359292838
apex,,,3,1,4,1.0,1.0,1.0,0.0,0.0014362251,5.451157E-4,1,1.2019271255059165E-4,0,563,0.4166666567325592,0.317217235410659
pegas,,,2,7,9,2.0,0.8888888888888888,0.9375,4.75,0.0012473677,0.0026627292,1,1.1432866035234389E-4,0,562,0.1666666716337204,0.23726357040623855
StAMPP,,,4,0,4,0.0,0.0,0.0,0.0,0.0051859925,0.0,1,1.2855742911377867E-4,0,558,0.1666666716337204,0.35911961711763046
mmod,,,2,1,3,1.0,1.0,1.0,0.0,1.6087505E-4,9.6959324E-4,1,1.2757014101444676E-4,0,557,0.5,0.32301666199296913
strataG,,,10,0,10,0.0,0.0,0.0,0.0,0.01895216,0.0,1,3.483318072085944E-4,0,208,0.13333334028720856,1.0
outbreaker,,,3,0,3,0.0,0.0,0.0,0.0,0.0035083469,0.0,1,1.1489649103301921E-4,0,555,0.3333333432674408,0.33715150672495425
AFLPsim,,,2,0,2,0.0,0.0,0.0,0.0,8.435749E-5,0.0,23,2.1407164767394112E-4,0,554,0.0,0.25480256295597
flexCWM,,,9,0,9,0.0,0.0,0.0,0.0,0.022523139,0.0,45,3.269890053401542E-4,0,536,0.0,0.06947339639605975
raptr,,,11,0,11,0.0,0.0,0.0,0.0,0.03472525,0.0,54,2.7778446997969855E-4,0,108,0.027272727340459824,0.37039298164492657
wildlifeDI,,,3,0,3,0.0,0.0,0.0,0.0,0.0018466626,0.0,35,1.4803561439634307E-4,0,591,0.3333333432674408,0.06363801934311512
rpostgisLT,,,2,0,2,0.0,0.0,0.0,0.0,3.220791E-4,0.0,35,1.4616832785588067E-4,0,590,0.0,0.04558654178078451
