OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
x264vfw,24,24,24,/projects/x264vfw/?source=directory,4.8,x264vfw is the VfW (Video for Windows) version of well known x264 encoder + ffh264 decoder (from FFmpeg/Libav project).,5/8/16,33,6779,Audio and Video,157,3768,5/8/16,1/4/08,3204
Avisynth rev. 2,25,25,25,/projects/avisynth2/?source=directory,4.8,Avisynth is a scripting language and a collection of filters for simple (and not so simple!) non-linear video editing tasks. It frameserves video to applications.,5/17/16,51,5967,Audio and Video,148,3552,5/17/16,7/2/02,5216
Virtual MIDI Piano Keyboard,26,26,26,/projects/vmpk/?source=directory,4.9,"Virtual MIDI controller for Linux, Windows and OSX",4 days ago,41,4777,Audio and Video,4,95,10/8/16,8/9/08,2986
VirtualDubMod,27,27,27,/projects/virtualdubmod/?source=directory,4.8,"VirtualDubMod is based on VirtualDub by Avery Lee. Born as a unification of several modifications, new features have been added including support for the matroska format. This project has been discontinued since 2004-2005.",5/7/13,57,4881,Audio and Video,1254,30096,5/7/13,10/28/02,5098
FlacSquisher,28,28,28,/projects/flacsquisher/?source=directory,4.6,"A utility to convert a Flac library to MP3, Opus or Ogg Vorbis format.",7/16/16,40,4739,Audio and Video,88,2112,7/16/16,7/2/08,3024
MeGUI,29,29,29,/projects/megui/?source=directory,4.7,"MeGUI is the most comprehensive GUI based ISO MPEG-4 solution. It suports MPEG-4 ASP (xvid), MPEG-4 AVC (x264), AAC, MP2, MP3, Flac, Vorbis, AC3 audio and various common containers support (MP4, MKV, AVI, M2TS).",10/3/16,92,4331,Audio and Video,9,216,10/3/16,12/26/05,3943
eSpeak: speech synthesis,30,30,30,/projects/espeak/?source=directory,4.9,"Text to Speech engine for English and many other languages. Compact size with clear but artificial pronunciation. Available as a command-line program with many options, a shared library for Linux, and a Windows SAPI5 version.",4/16/15,48,3874,Audio and Video,545,13080,4/16/15,2/10/06,3897
VLC media player,31,31,31,/projects/vlc/?source=directory,0,The best free media player for video and DVDs,6/2/16,0,23292,Audio and Video,132,3168,6/2/16,4/29/10,2358
ONVIF Device Manager,32,32,32,/projects/onvifdm/?source=directory,4.8,Network video device management software,4/1/15,17,4316,Audio and Video,560,13440,4/1/15,9/29/10,2205
InfraRecorder,33,33,33,/projects/infrarecorder/?source=directory,4.7,CD/DVD burning solution for Microsoft Windows.,2/4/15,116,3731,Audio and Video,616,14784,2/4/15,8/18/06,3708
TAudioConverter Audio Converter,34,34,34,/projects/taudioconverter/?source=directory,3.5,Convert-extract audio and rip CDs,6/7/15,20,6540,Audio and Video,493,11832,6/7/15,8/5/12,1529
Kid3 Tag Editor,35,35,35,/projects/kid3/?source=directory,4.9,Audio Tag Editor,3 days ago,38,3246,Audio and Video,3,71,10/9/16,1/6/03,5028
xVideoServiceThief,36,36,36,/projects/xviservicethief/?source=directory,4.4,"xVideoServiceThief is a tool for downloading your favourite video clips from a lot of video websites. xVideoServiceThief also provide you the ability to convert each video in most popular formats: AVI, MPEG1, MPEG2, WMV, MP4, 3GP, MP3 file formats. ",4/22/14,59,3850,Audio and Video,904,21696,4/22/14,9/6/07,3324
AAX to MP3,37,37,37,/projects/aaxtomp3/?source=directory,4.3,Audible AAX to MP3 Converter,2/22/15,51,3550,Audio and Video,598,14352,2/22/15,11/6/14,706
DivFix++,38,38,38,/projects/divfixpp/?source=directory,4.7,"DivFix++ is yours AVI video repair and preview software. It designed for repair and preview files which are on download from ed2k(emule), torrent, gnutella, ftp. web or any other source on the internet. It can repair AVI and DivX files (for now.)",6/27/12,62,3350,Audio and Video,1568,37632,6/27/12,6/15/06,3772
LAME (Lame Aint an MP3 Encoder),39,39,39,/projects/lame/?source=directory,0,A high quality MP3 encoder,9/30/14,0,19248,Audio and Video,743,17832,9/30/14,11/18/99,6173
Google2SRT,40,40,40,/projects/google2srt/?source=directory,4.5,"Download, save and convert multiple subtitles from YouTube videos",3/6/16,34,3563,Audio and Video,220,5280,3/6/16,8/27/08,2968
GoldenDict,41,41,41,/projects/goldendict/?source=directory,4.8,"A feature-rich dictionary lookup program, supporting multiple dictionaries' formats, perfect article rendering with the complete markup, illustrations and other content retained, and allowing to type in words without any accents or correct case.",6/24/16,39,3319,Audio and Video,110,2640,6/24/16,1/23/09,2819
"Peace, GUI for Equalizer APO",42,42,42,/projects/peace-equalizer-apo-extension/?source=directory,4.8,Graphical User Interface for Equalizer APO,8/15/16,39,3164,Audio and Video,58,1392,8/15/16,3/13/14,944
opencore-amr,43,43,43,/projects/opencore-amr/?source=directory,5,Audio codecs extracted from Android Open Source Project,9/24/16,24,3125,Audio and Video,18,432,9/24/16,6/18/09,2673
mp3splt,44,44,44,/projects/mp3splt/?source=directory,5,"utility to split mp3, ogg vorbis and FLAC files without decoding",5/27/15,27,3012,Audio and Video,504,12096,5/27/15,6/6/02,5242
SoX - Sound eXchange,45,45,45,/projects/sox/?source=directory,4.9,SoX is the Swiss Army Knife of sound processing utilities. It can convert audio files to other popular audio file types and also apply sound effects and filters during the conversion.,2/27/15,61,2862,Audio and Video,593,14232,2/27/15,9/1/00,5885
Freeware Advanced Audio Coder,46,46,46,/projects/faac/?source=directory,4.8,"FAAC is an Advanced Audio Coder (MPEG2-AAC, MPEG4-AAC). The goal of FAAC is to explore the possibilities of AAC and exceed the quality of the currently best MP3 encoders.",5/2/13,20,3239,Audio and Video,1259,30216,5/2/13,12/12/99,6149
butt (broadcast using this tool),47,47,47,/projects/butt/?source=directory,4.7,"butt (broadcast using this tool) is an easy to use, multi OS streaming tool.",5/28/16,45,3077,Audio and Video,137,3288,5/28/16,9/21/07,3309
guliverkli,48,48,48,/projects/guliverkli/?source=directory,4.7,"Media Player Classic, now part of the mpc-hc project",5/8/13,50,3118,Audio and Video,1253,30072,5/8/13,5/29/03,4885
Jahshaka,49,49,49,/projects/jahshakafx/?source=directory,4.1,"Jahshaka is a video and film compositing, editing and special fx system that uses OpenGL & OpenML hardware rendering to give operators real time interactivity. The system is cross platform, and also includes full CG, paint and image processing modules.",4/17/13,18,4383,Audio and Video,1274,30576,4/17/13,3/29/01,5676
VoodooHDA,50,50,50,/projects/voodoohda/?source=directory,4.2,VoodooHDA is an open source audio driver for devices compliant with the Intel High Definition Audio specification. It is intended as a replacement for AppleHDA on Mac OS X with support for a wide range of audio controllers and codecs.,8/23/16,16,3369,Audio and Video,50,1200,8/23/16,10/17/09,2552
PhotoFilmStrip,51,51,51,/projects/photostoryx/?source=directory,4.9,"PhotoFilmStrip creates movies out of your pictures in just 3 steps. First select your photos, customize the motion path and render the video. There are several output possibilities for VCD, SVCD, DVD up to FULL-HD. Creates animated slideshows.",6/25/16,45,2748,Audio and Video,109,2616,6/25/16,10/5/08,2929
FripTV,52,52,52,/projects/friptv/?source=directory,5,"FripTV is a free, opensource, SDL based IP TV player. Currently in alpha stage it runs on Windows XP and Linux and the code is designed to be highly portable. It supports MPEG2 and h264 transport streams.",4/25/13,4,3934,Audio and Video,1266,30384,4/25/13,3/9/07,3505
DVDStyler,53,53,53,/projects/dvdstyler/?source=directory,4.1,A cross-platform DVD authoring application,6 days ago,160,3146,Audio and Video,6,143,10/6/16,10/12/03,4749
Album Art Downloader,54,54,54,/projects/album-art/?source=directory,4.8,The Album Art Downloader is a program designed to make life easier for anyone who wishes to find and update their album art for their music collection. The sources for the pictures can be defined by creating plugin scripts.,12/13/15,93,2493,Audio and Video,304,7296,12/13/15,1/15/07,3558
ZBar bar code reader,55,55,55,/projects/zbar/?source=directory,4.8,"A comprehensive software suite for reading barcodes. Supports EAN/UPC, Code 128, Code 39, Interleaved 2 of 5 and QR Code. Includes libraries and applications for decoding captured barcode images and using a video device (eg, webcam) as a barcode scanner.",2/2/13,64,2416,Audio and Video,1348,32352,2/2/13,2/12/07,3530
FLAC-Free Lossless Audio Codec,56,56,56,/projects/flac/?source=directory,4.9,FLAC is a free lossless compressed audio format which supports streaming and archival.  The FLAC project maintains the format and provides a reference encoder/decoder and input plugins for several popular audio players.,11/28/14,79,2300,Audio and Video,684,16416,11/28/14,10/24/00,5832
MediaInfo,57,57,57,/projects/mediainfo/?source=directory,4.5,A unified display of relevant technical and tag data for A/V files,9/29/16,125,2363,Audio and Video,13,312,9/29/16,7/29/03,4824
Subtitle Workshop,58,58,58,/projects/subworkshop/?source=directory,0,Free subtitle editor,12/12/13,0,12530,Audio and Video,1035,24840,12/12/13,1/22/08,3186
Pure Data Computer Music System,59,59,59,/projects/pure-data/?source=directory,4.9,The Pure Data (short Pd) project on SourceForge unifies the extensions (or externals) written for the Pure Data Graphical Computer Music System written by Miller Puckette with contributions from many others.,4 days ago,44,2058,Audio and Video,4,95,10/8/16,6/14/02,5234
Mumble,60,60,60,/projects/mumble/?source=directory,4.7,"Low-latency, high quality voice chat for gamers",7/12/15,202,1936,Audio and Video,458,10992,7/12/15,8/31/05,4060
MAD (MPEG Audio Decoder),61,61,61,/projects/mad/?source=directory,5,"MAD is a high-quality fixed-point MPEG audio decoder with 24-bit output. The implementation is entirely new, based on the ISO/IEC standards, and performs especially well on systems without native floating-point support.",4/24/13,7,2425,Audio and Video,1267,30408,4/24/13,10/3/00,5853
Midi Sheet Music,62,62,62,/projects/midisheetmusic/?source=directory,4.8,"Midi Sheet Music is a free program that plays MIDI music files while highlighting the piano notes and sheet music notes. Works on Windows, Mac OS X, and Ubuntu Linux.",7/31/13,45,1838,Audio and Video,1169,28056,7/31/13,5/8/08,3079
Free Piano,63,63,63,/projects/freepiano/?source=directory,5,A virtual MIDI keyboard and a piano for Windows.,6/14/15,11,1999,Audio and Video,486,11664,6/14/15,3/20/11,2033
Virtualdub FFMpeg Input Plugin,64,64,64,/projects/virtualdubffmpeginputplugin/?source=directory,4.9,"Input plugin for virtualdub, uses FFMpeg to load many formats",8/22/16,8,1851,Audio and Video,51,1224,8/22/16,1/22/14,994
mpg123,65,65,65,/projects/mpg123/?source=directory,4.9,"This is the fast and Free (LGPL license) real time MPEG Audio Layer 1, 2 and 3 decoding library and console player. It uses floating point or integer math, along with several special optimizations (3DNow, SSE, ARM, ...) to make it most efficient.",9/27/16,35,1523,Audio and Video,15,360,9/27/16,4/4/05,4209
cdrtfe,66,66,66,/projects/cdrtfe/?source=directory,4.8,Burn optical discs in various formats ,9/15/16,19,1652,Audio and Video,27,648,9/15/16,11/24/06,3610
Guliverkli2,67,67,67,/projects/guliverkli2/?source=directory,4.9,"This project is based on the latest source code from the original Guliverkli project. The modifications that we have made include library updates, some tweaks and several bug fixes. We have also fixed all known security vulnerabilities.",4/15/13,57,1456,Audio and Video,1276,30624,4/15/13,9/14/07,3316
AVStoDVD,68,68,68,/projects/avstodvd/?source=directory,4.7,A flexible tool to convert various media formats to DVD,4/21/16,83,1506,Audio and Video,174,4176,4/21/16,6/1/07,3421
Gnaural,69,69,69,/projects/gnaural/?source=directory,4.8,Entrain your brain!,5/24/16,50,1423,Audio and Video,141,3384,5/24/16,9/23/05,4037
UMPlayer,70,70,70,/projects/umplayer/?source=directory,4.8,"UMPlayer is a cross-platform multimedia player supporting many audio and video codecs and file formats as well as DVDs, VCDs, and various streaming protocols. It boasts many advanced features such as built-in subtitle search and YouTube player.",4/10/13,67,1336,Audio and Video,1281,30744,4/10/13,2/4/10,2442
ffdshow,71,71,71,/projects/ffdshow/?source=directory,4.4,"ffdshow is DirectShow and VFW codec for decoding/encoding many video and audio formats, including DivX and XviD movies using libavcodec, xvid and other opensourced libraries with a rich set of postprocessing filters.",5/9/13,49,1535,Audio and Video,1252,30048,5/9/13,5/17/02,5262
CasparCG: Pro Video & Graphics Play-Out,72,72,72,/projects/casparcg/?source=directory,5,"Pro Video & Graphics Play-Out SW, proven in 24/7 broadcasts since 2006",2/17/16,9,1461,Audio and Video,238,5712,2/17/16,4/9/08,3108
Aria Maestosa,73,73,73,/projects/ariamaestosa/?source=directory,4.9,"Aria Maestosa is a midi sequencer/editor. It lets you compose, edit and play midi files with a few clicks in a user-friendly interface offering score, keyboard, guitar, drum and controller views. ",7/13/16,16,1286,Audio and Video,91,2184,7/13/16,1/15/07,3558
MPlayer for Win32,74,74,74,/projects/mplayer-win32/?source=directory,4.8,MPlayer Mencoder FFmpeg native win32 bbuild,7/5/16,28,1286,Audio and Video,99,2376,7/5/16,9/10/07,3320
mplayer-for-windows,75,75,75,/projects/mplayerwin/?source=directory,5,MPlayer & MEncoder Builds for Windows,4 days ago,2,2536,Audio and Video,4,95,10/8/16,5/25/13,1236
macam - USB webcam driver for Mac OS X,76,76,76,/projects/webcam-osx/?source=directory,3.4,"macam is focused on developing webcam support for Mac OS X. We are trying to incorporate many different camera types. If you want a camera to work on OSX, join in! We need help with testing cameras (there are soooo many). Please visit the Web Site fi",5/9/13,34,2322,Audio and Video,1252,30048,5/9/13,1/17/02,5382
DirectShow .NET,77,77,77,/projects/directshownet/?source=directory,5,".NET c# directshow lib, capture and playback using c# and directshow",11/16/14,39,1096,Audio and Video,696,16704,11/16/14,4/12/05,4201
Meteorite,78,78,78,/projects/meteorite/?source=directory,4.1,Meteorite is MKV / Matroska file repair engine. That repairs MKV files and can repair MKV files still downloading from internet.,6/27/12,36,1584,Audio and Video,1568,37632,6/27/12,8/1/09,2629
Krut Computer Recorder,79,79,79,/projects/krut/?source=directory,4.7,Krut Computer Recorder is a screencast tool to record audio and video from your computer screen into .mov-files and .wav-files. It can be used to e.g. make video tutorials or record games. It could also be used to record streaming video and audio.,8/25/15,32,1210,Audio and Video,414,9936,8/25/15,1/23/05,4280
EXP Soundboard,80,80,80,/projects/expsoundboard/?source=directory,4.4,Simple soundboard app with hotkeys,2/20/16,7,1382,Audio and Video,235,5640,2/20/16,3/19/14,938
TTA Lossless Audio Codec,81,81,81,/projects/tta/?source=directory,4.9,"Lossless compressor for multichannel 8,16 and 24 bits audio data, with the ability of password data protection. Being 'lossless' means that no data/quality is lost in the compression - when uncompressed, the data will be identical to the original.",12/30/15,38,1116,Audio and Video,287,6888,12/30/15,10/6/04,4389
EOS Camera Movie Record,82,82,82,/projects/eos-movrec/?source=directory,4.8,"This software writes short movies with your digital DSLR camera Canon (R) directly to computer. The camera must have LiveView feature to work, like in Canon EOS 450D for example. The Program has preview, Av, Tv and WB control.",6/1/16,33,1054,Audio and Video,133,3192,6/1/16,2/5/09,2806
LameXP,83,83,83,/projects/lamexp/?source=directory,4.3,Multi-Format Audio-Encoder Front-end,2 days ago,12,1618,Audio and Video,2,47,10/10/16,1/28/11,2084
Open Camera,84,84,84,/projects/opencamera/?source=directory,5,Camera app for Android.,4 days ago,14,1129,Audio and Video,4,95,10/8/16,10/12/13,1096
WaveSurfer,85,85,85,/projects/wavesurfer/?source=directory,4.8,WaveSurfer is an open source tool for sound visualization and manipulation. Typical applications are speech/sound analysis and sound annotation/transcription. WaveSurfer may be extended by plug-ins as well as embedded in other applications.,5/9/14,25,1119,Audio and Video,887,21288,5/9/14,8/31/07,3330
iaextractor repository,86,86,86,/projects/iaextractor/?source=directory,5,AAC audio extractor for the FLV format,4/2/16,2,2120,Audio and Video,193,4632,4/2/16,6/24/13,1206
SMTube,87,87,87,/projects/smtube/?source=directory,4,A YouTube browser for SMPlayer,7/3/16,2,2111,Audio and Video,101,2424,7/3/16,3/8/13,1314
SubtitleCreator,88,88,88,/projects/subtitlecreator/?source=directory,5,"SubtitleCreator allows you to create new subtitles for your DVD's. It has a Wizard interface, advanced synchronization features, DVD preview, and a simple WYSIWYG editor. The latest version even has support for Karaoke.",5/9/13,11,1094,Audio and Video,1252,30048,5/9/13,9/26/04,4399
MuseScore,89,89,89,/projects/mscore/?source=directory,4.8,Free music notation & composition software,4/13/16,117,928,Audio and Video,182,4368,4/13/16,5/13/04,4535
DScaler Deinterlacer/Scaler,90,90,90,/projects/deinterlace/?source=directory,5,"An application that does scaling/deinterlacing/inverse telecine using a high powered PC and certain TV capture cards. Essentially, this software converts a PC into a good-quality line doubler/scaler/upconverter machine!",10/26/14,13,1037,Audio and Video,717,17208,10/26/14,6/26/00,5952
MP3val,91,91,91,/projects/mp3val/?source=directory,4.9,"MP3val is a small, high-speed tool for MPEG audio files validation and (optionally) fixing problems. It was primarily designed for verification of MPEG 1 Layer III (MP3) files, but supports also other MPEG versions and layers.",3/29/14,15,1012,Audio and Video,928,22272,3/29/14,2/20/06,3887
Streamripper,92,92,92,/projects/streamripper/?source=directory,5,"Streamripper records shoutcast-compatible streams. For shoutcast style streams it finds the ""meta data"" or track separation data, and uses that as a marker for where the track should be separated.",8/7/15,24,935,Audio and Video,432,10368,8/7/15,5/26/00,5983
CamDesk,93,93,93,/projects/camdesk/?source=directory,4.7,The Desktop Webcam Widget,3/8/16,12,1169,Audio and Video,218,5232,3/8/16,10/15/10,2189
XMLTV,94,94,94,/projects/xmltv/?source=directory,5,XMLTV obtains and processes TV listing data,6/4/16,13,985,Audio and Video,130,3120,6/4/16,10/31/01,5460
Dirac,95,95,95,/projects/dirac/?source=directory,4.8,"Dirac is a general-purpose video codec aimed at resolutions from QCIF (176x144) to HDTV (1920x1080) progressive or interlaced. It uses wavelets, motion compensation and arithmetic coding and aims to be competitive with other state of the art codecs.",6/4/13,23,981,Audio and Video,1226,29424,6/4/13,2/18/04,4620
Media Converter,96,96,96,/projects/media-converter/?source=directory,5,"Media Converter is a plugin based video and audio converter. It uses ffmpeg as it's engine, which allows it to convert to a lot of formats.",6/12/13,8,1072,Audio and Video,1218,29232,6/12/13,2/27/11,2054
Shairport4w,97,97,97,/projects/shairport4w/?source=directory,5,"Airtunes emulator. ""Shairport"" for Windows. Stream music wirelessly to your PC from your iPod/iPad/iPhone/iTunes.",8/9/15,45,830,Audio and Video,430,10320,8/9/15,4/24/11,1998
Synfig,98,98,98,/projects/synfig/?source=directory,4.6,"Synfig is a powerful, industrial-strength vector-based 2D animation software package, designed from the ground-up for producing feature-film quality 2D animation with fewer people and resources.",10/10/15,54,943,Audio and Video,368,8832,10/10/15,7/17/05,4105
projectM,99,99,99,/projects/projectm/?source=directory,4.7,"projectM, a MilkDrop compatible opensource music visualizer",8/3/16,18,980,Audio and Video,70,1680,8/3/16,3/10/04,4599
Dorgem - Webcam Capturer,100,100,100,/projects/dorgem/?source=directory,4.6,Dorgem is a webcam capture program for Windows,4/15/13,16,972,Audio and Video,1276,30624,4/15/13,7/13/01,5570
gMKVExtractGUI,101,101,101,/projects/gmkvextractgui/?source=directory,3.5,A GUI in C# .NET 2 for mkvextract (MKVToolnix),5/4/16,6,2112,Audio and Video,161,3864,5/4/16,11/23/13,1054
FrostWire,102,102,102,/projects/frostwire/?source=directory,4.7,"Search, Download, Play, Share on Bittorrent, YouTube and the cloud",9/17/16,20,895,Audio and Video,25,600,9/17/16,6/27/05,4125
avidemux-mswin,103,103,103,/projects/avidemux-mswin/?source=directory,4.8,Avidemux builds for Microsoft Windows,5/18/13,24,862,Audio and Video,1243,29832,5/18/13,3/31/12,1656
APK File Manager,104,104,104,/projects/apkfilemanager/?source=directory,4.7,Organize your android .apk collection! Catalog and view informations.,9/17/15,7,959,Audio and Video,391,9384,9/17/15,6/13/12,1582
WaveShop,105,105,105,/projects/waveshop/?source=directory,4.4,a bit-perfect audio editor that doesn't modify samples needlessly,4/12/14,5,1049,Audio and Video,914,21936,4/12/14,1/4/13,1377
Matroska ,106,106,106,/projects/matroska/?source=directory,5,Matroska is an open standard audio/video container format. Visit our homepage at http://www.matroska.org,3/25/15,19,770,Audio and Video,567,13608,3/25/15,12/6/02,5059
Jubler subtitle editor,107,107,107,/projects/jubler/?source=directory,3.3,"Jubler is a tool for editing text-based subtitles. It can be used an an authoring software for new subtitles or as a tool to convert, transform, correct, and refine existing subtitles.",3/14/16,6,2980,Audio and Video,212,5088,3/14/16,8/23/05,4068
FluidSynth,108,108,108,/projects/fluidsynth/?source=directory,4.5,A real-time SoundFont software synthesizer,5/19/15,8,1111,Audio and Video,512,12288,5/19/15,4/3/10,2384
winLAME,109,109,109,/projects/winlame/?source=directory,4.7,"winLAME is an encoder for several audio formats, including mp3 (MPEG Layer 3), Ogg Vorbis and more. winLAME lets you set up the encoding process with an easy-to-use wizard-style user interface.",10/12/14,13,908,Audio and Video,731,17544,10/12/14,2/22/01,5711
ZynAddSubFX,110,110,110,/projects/zynaddsubfx/?source=directory,4.7,"ZynAddSubFX is a powerful realtime, multi-timbral software synthesizer for Linux, OSX, and Windows. It is microtonal, and the instruments made by it sounds like those from professional keyboards. The program has effects like Reverb, Echo, Chorus, Phaser...",1 day ago,29,763,Audio and Video,1,23,10/11/16,9/20/02,5136
BestPractice,111,111,111,/projects/bestpractice/?source=directory,4.8,"BestPractice is a tool especially for musicians to slow down or speed up music, either from a file or directly from a CD while keeping the pitch at the correct height. On the other hand the pitch of the music can be changed without affecting the temp",4/26/13,25,732,Audio and Video,1265,30360,4/26/13,10/19/06,3646
MP3 Diags,112,112,112,/projects/mp3diags/?source=directory,4.3,"Finds problems in MP3 files and helps the user to fix many of them using included tools. Looks at both the audio part (VBR info, quality, normalization) and the tags containing track information (ID3.) Also includes a tag editor and a file renamer.",7/30/16,19,907,Audio and Video,74,1776,7/30/16,4/29/09,2723
Qtractor,113,113,113,/projects/qtractor/?source=directory,4.8,An Audio/MIDI multi-track sequencer,8 hours ago,27,705,Audio and Video,0,8,10/12/16,4/1/05,4212
AC3Filter,114,114,114,/projects/ac3filter/?source=directory,4.5,"It is DirectShow AC3 Decoder filter used to palyback AVI files with AC3 sound tracks and DVDs. Multichannel and S/PDIF support. Focused at flexible controls during playback: gains, mixer, stream information, levels and other.",4/1/13,16,872,Audio and Video,1290,30960,4/1/13,10/30/02,5096
PS3 Media Server,115,115,115,/projects/ps3mediaserver/?source=directory,0,A DLNA-compliant UPnP Media Server,11/16/13,0,3908,Audio and Video,1061,25464,11/16/13,6/24/13,1206
ARToolKit,116,116,116,/projects/artoolkit/?source=directory,5,Optical marker tracking and overlay for augmented reality.,5/15/14,51,597,Audio and Video,881,21144,5/15/14,8/5/04,4451
MPlayer OS X,117,117,117,/projects/mplayerosx/?source=directory,4.4,A binary distribution of MPlayer - the movie player for Linux,10/28/14,16,817,Audio and Video,715,17160,10/28/14,9/20/02,5136
GT Fx FloorBoard,118,118,118,/projects/fxfloorboard/?source=directory,4.6,"Editors for the BOSS GT-3, GT-5, GT-6, GT-8, GT-Pro, GT-10 and GT-100 Guitar Multi-Effects Processors, and the BOSS GT-6B and GT-10B Bass Multi-Effects Processors. This software can edit patches via midi on the BOSS GT Multi-Effects Processor.",9/8/16,22,735,Audio and Video,34,816,9/8/16,6/27/06,3760
Webinaria,119,119,119,/projects/webinaria/?source=directory,4.2,"Software for recording, editing and publishing demo and tutorial videos.",4/24/13,5,1281,Audio and Video,1267,30408,4/24/13,7/11/08,3015
Mpxplay Multimedia Commander,120,120,120,/projects/mpxplay/?source=directory,5,Mpxplay is a commander-style console audio player for DOS and Win32 operating systems.,8/28/16,12,669,Audio and Video,45,1080,8/28/16,10/14/02,5112
